2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.114s
2025-06-17 14:00:39 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 23.8
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Frames processed: 262
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 12
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.4
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.9
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.106s
2025-06-17 14:00:44 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 25.3
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Frames processed: 362
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 19
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.3
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.7
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.098s
2025-06-17 14:00:49 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 27.7
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Frames processed: 462
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 16
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.6
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.1
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.094s
2025-06-17 14:00:54 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 28.6
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Frames processed: 558
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.3
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.8
2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.097s
